PV_MWdc,BESS_MW,NG_MW,Total_Cost_$,Deficit_kWh,SuccessRate,Season
1465.3605162363672,1193.5486845388325,37.52738314586422,373000000.0,18269.01412894223,0.8324074074074074,Winter
136.789470146975,105.36222931023363,1.6603328388619731,25500000.0,165248.8285221675,0.0680555555555555,Winter
1467.0632199835204,1165.3462052425793,35.64838409346393,373000000.0,18269.01412894223,0.8324074074074074,Winter
114.09098034851496,105.36222931023363,2.36829545191946,25500000.0,165248.8285221675,0.0680555555555555,Winter
138.9555933189028,113.01180907524466,5.080652294548218,34000000.0,145570.1895259675,0.1106481481481481,Winter
179.75737457073012,103.26913708801848,3.1394809587962174,36500000.0,143096.827052015,0.2763888888888889,Winter
109.58378570195188,100.51430678483896,9.434452539800759,34000000.0,145570.1895259675,0.1106481481481481,Winter
115.82543494136802,126.4131908786025,37.260575101302905,59500000.0,91807.68199864216,0.2152777777777778,Winter
512.0889785849457,1150.9686664349276,24.59518780447314,246000000.0,42014.11277177697,0.7222222222222222,Winter
109.58378570195188,109.3692564251703,23.026500442129482,42500000.0,126865.1777937622,0.1564814814814815,Winter
245.789941693906,116.4988172726608,4.814560722603741,36500000.0,143096.827052015,0.2763888888888889,Winter
384.57886529104564,661.5515727576311,26.530489546372415,171000000.0,60721.60436717013,0.5583333333333333,Winter
491.6704633519243,1143.6089308722017,25.683306022984816,240000000.0,39921.11045807706,0.7032407407407407,Winter
113.13640467381822,111.2841280378014,22.149434059391968,42500000.0,126865.1777937622,0.1564814814814815,Winter
412.6202404235396,111.40546345006021,24.915840843551685,75500000.0,105771.8170280209,0.3564814814814815,Winter
377.6273958435456,840.3476696739582,22.299915038523025,177000000.0,65198.6168758959,0.5824074074074074,Winter
512.0889785849457,388.8963622112053,23.37674212105423,130000000.0,84773.79691209475,0.4777777777777778,Winter
631.2738194599712,757.2468722308457,31.901923157348175,207500000.0,50930.05224057685,0.6268518518518519,Winter
880.8218368829029,1188.4244222480118,8.973552752775234,281500000.0,36136.83874462683,0.7828703703703703,Winter
899.0151029478409,1193.4834207795182,33.86213051071737,298500000.0,26893.40661011191,0.7893518518518519,Winter
658.5859741236101,1159.9982928250108,36.862317069783835,285000000.0,25333.43432602629,0.7712962962962963,Winter
485.50488636978076,728.5594376581832,37.646248654668824,190500000.0,48937.52792941267,0.5962962962962963,Winter
535.0549006386311,246.2604893824051,5.519099444244903,92500000.0,110607.6612141917,0.3972222222222222,Winter
1419.3470593129505,1197.3865881754712,3.920994270937774,328000000.0,34600.4503565042,0.8060185185185185,Winter
503.9910367512059,394.2197368991462,6.151662027145591,121500000.0,96238.70240571228,0.4638888888888889,Winter
400.2903481783841,182.4414235547555,20.478022011549733,90000000.0,99375.32790449088,0.3953703703703704,Winter
336.64931890983576,116.4988172726608,4.814560722603741,47500000.0,137015.8877782363,0.3148148148148148,Winter
554.8792001958353,1152.1573451255667,37.5724401872262,274000000.0,27410.8448631444,0.7564814814814815,Winter
460.2517363371698,1087.8707660669681,24.915840843551685,231500000.0,46389.78099706923,0.6972222222222222,Winter
400.7724575212647,742.1760682737773,24.789242496119186,162500000.0,70350.19623199696,0.5509259259259259,Winter
1232.4887015539102,1163.177823486408,37.54847657630374,340000000.0,19606.00846740226,0.8175925925925925,Winter
258.0563288114114,126.31878890461986,6.390041028060789,56000000.0,122409.8608266326,0.3314814814814815,Winter
300.7938989050453,190.48434332079898,20.327976419585916,79000000.0,102025.3449303712,0.3740740740740741,Winter
147.4839050817631,104.14252078727837,29.23860266283772,51000000.0,109021.4677286422,0.1884259259259259,Winter
147.4839050817631,128.75963402758163,30.253442597946762,51000000.0,109021.4677286422,0.1884259259259259,Winter
198.98777882836663,116.32658332854794,38.00466316759816,70500000.0,82605.80157202967,0.3208333333333334,Winter
503.97071720248505,1006.5853834242072,22.341210088023267,217000000.0,51173.60142142769,0.6685185185185185,Winter
467.75026907162777,1177.752781823915,4.450405596907086,229000000.0,54255.9058719617,0.7106481481481481,Winter
949.1510735650808,1170.904657171275,17.390156782075106,290000000.0,31480.54494783826,0.7856481481481481,Winter
1026.7203402974355,1157.5158516430706,37.01854680393068,318000000.0,21311.12396074912,0.8032407407407407,Winter
117.24532588290114,141.570157639091,36.9386720093867,59500000.0,91807.68199864216,0.2152777777777778,Winter
656.2242458673076,1092.9061713873286,22.151395699203015,253500000.0,40427.94484914058,0.7342592592592593,Winter
